red,green,blue
159,122,24
159,122,24
160,122,24
160,122,25
160,122,25
161,122,25
161,121,25
162,121,26
162,120,27
163,119,28
164,118,30
164,117,31
165,115,33
166,114,35
166,112,37
167,111,40
167,109,42
168,108,44
169,106,46
170,105,48
170,104,50
171,102,52
172,101,53
173,100,54
173,99,56
174,98,57
175,97,58
176,97,59
177,96,61
178,95,62
178,94,63
179,93,64
180,92,65
181,91,67
182,90,68
183,89,69
184,88,70
185,87,72
186,86,73
187,85,74
188,84,75
189,84,77
189,83,78
190,82,79
191,81,81
191,80,82
192,79,83
192,78,84
193,78,85
193,77,86
193,76,87
194,75,88
194,75,89
194,74,91
194,73,92
193,72,93
193,71,94
192,71,95
192,70,96
191,69,97
190,69,98
188,68,99
187,68,100
185,67,101
183,67,102
181,67,102
178,67,103
175,67,104
172,66,104
169,67,105
166,67,105
163,67,106
159,67,106
156,68,107
152,69,108
148,69,108
143,70,109
139,72,110
134,73,111
129,75,113
123,77,114
118,79,116
112,82,118
107,84,120
101,87,122
96,89,125
91,92,127
87,94,129
83,97,132
79,99,134
75,101,136
72,103,138
68,105,140
65,107,143
63,109,145
60,111,147
58,113,149
55,115,151
53,117,153
51,119,155
49,121,157
48,123,159
46,124,161
45,126,163
43,128,164
42,129,166
41,131,168
40,133,170
39,134,171
38,136,173
37,138,174
36,139,176
36,141,177
36,142,178
35,144,179
35,145,180
35,146,181
35,147,181
35,148,182
35,149,182
35,150,183
35,151,183
35,152,183
35,153,183
35,154,183
36,155,183
36,156,183
36,157,182
37,158,182
37,159,182
38,160,181
38,161,181
39,162,180
40,163,180
40,164,179
41,166,178
42,167,177
43,168,176
44,169,175
45,171,174
46,172,173
47,173,171
49,174,170
50,176,169
51,177,167
52,178,166
54,179,165
55,180,163
56,182,161
58,183,159
60,185,157
62,187,155
64,188,152
66,190,150
69,192,147
71,195,144
74,197,141
77,199,138
79,201,134
82,204,131
85,206,128
87,208,125
90,210,122
92,212,119
95,214,116
97,215,113
100,217,111
102,219,109
104,220,107
106,221,105
107,222,103
109,223,102
110,223,101
111,224,100
112,224,99
113,224,99
114,224,99
115,223,99
116,223,99
116,222,100
117,221,101
117,220,102
118,219,104
118,218,106
118,216,108
118,214,110
117,212,113
117,211,115
116,209,118
116,206,121
115,204,125
114,202,128
113,200,131
113,198,134
112,196,137
112,194,140
111,193,143
110,191,146
110,189,149
110,187,152
109,185,155
109,183,158
109,181,161
108,179,164
108,177,167
108,175,170
107,173,174
107,170,177
107,168,180
107,166,184
107,163,187
107,161,190
108,158,194
108,156,197
108,154,200
109,152,202
109,150,205
110,148,207
110,147,209
111,145,212
112,144,213
112,143,215
112,142,217
113,141,218
