red,green,blue
16,16,16
17,15,22
16,16,28
16,17,34
17,16,44
16,16,56
16,15,68
15,16,72
15,17,77
15,18,81
14,20,86
17,19,90
20,18,93
24,17,98
28,16,102
31,16,105
34,15,109
38,14,112
41,14,115
44,13,118
47,13,122
51,12,125
54,11,128
57,11,131
61,11,133
63,11,134
65,11,137
69,10,140
72,10,141
74,9,143
77,8,146
79,9,147
83,8,148
85,8,150
88,9,151
90,9,152
94,8,153
96,9,154
99,9,155
101,9,156
104,10,157
107,9,158
110,9,159
112,10,160
115,10,161
117,11,161
119,11,162
122,11,163
124,12,162
127,12,163
129,13,162
131,13,161
134,14,162
136,14,161
137,16,161
140,16,162
142,17,161
144,17,160
147,18,159
149,18,159
150,20,158
153,20,157
155,21,156
156,22,155
158,23,155
161,24,154
162,25,153
164,26,152
167,27,150
168,28,149
170,29,148
171,30,148
173,31,145
174,32,144
177,33,143
178,35,141
180,35,140
181,37,138
184,37,137
185,39,134
187,40,133
188,41,131
189,43,130
191,44,128
192,45,127
192,46,123
195,47,121
196,48,120
197,50,117
199,51,115
200,52,114
201,54,112
202,56,109
203,57,108
206,58,106
207,60,103
208,61,101
209,63,100
210,64,97
211,66,95
212,67,94
213,69,91
214,71,89
215,72,86
216,74,84
217,75,83
218,77,81
219,79,78
220,80,75
221,82,75
222,83,72
223,85,70
224,87,69
225,88,66
226,90,64
227,92,61
228,93,60
227,95,58
228,97,55
229,98,55
230,100,52
231,102,49
231,104,49
232,105,46
233,107,44
234,109,43
233,111,40
234,112,39
235,114,37
235,116,36
236,118,34
237,119,33
237,121,30
238,123,30
239,124,27
238,127,26
239,128,25
239,130,23
240,132,22
241,133,21
240,135,21
240,136,17
240,138,16
241,139,16
241,141,15
242,143,14
241,145,13
242,146,12
242,148,12
243,149,11
242,151,10
242,153,9
243,155,9
243,157,10
244,158,9
243,160,8
243,162,7
244,163,8
243,165,7
243,167,8
244,168,8
244,170,9
243,172,8
244,173,9
244,175,10
243,177,9
244,178,10
244,179,11
244,181,12
243,183,13
244,184,14
244,185,15
243,187,16
243,189,17
243,191,18
244,191,21
243,193,22
243,195,23
242,196,26
242,198,27
242,199,29
243,200,32
242,202,33
242,203,36
241,204,39
241,206,42
241,207,44
240,208,47
240,210,50
239,211,53
240,212,55
240,213,58
240,214,63
239,216,66
239,217,70
238,218,73
238,219,77
237,219,81
236,220,85
236,221,90
235,222,95
235,223,99
235,224,104
234,225,108
234,226,113
233,227,119
233,228,124
233,229,130
232,230,134
232,230,141
231,231,147
231,232,153
231,233,158
229,234,166
228,234,172
228,235,179
228,235,189
227,235,198
227,235,206
226,235,216
227,235,223
230,235,229
232,235,232
235,235,235
