red,green,blue
0,25,33
3,24,38
7,22,45
10,22,50
13,21,55
16,19,62
20,18,67
23,17,72
27,15,77
30,14,82
34,13,87
37,12,92
39,11,95
43,10,100
47,9,105
50,9,108
53,8,113
57,7,116
60,7,119
63,6,123
65,6,127
69,4,130
72,3,134
75,3,137
79,3,139
81,3,140
83,3,144
87,2,147
89,2,148
91,1,150
94,0,153
96,1,155
100,0,156
102,0,158
105,1,159
107,1,160
111,0,161
113,1,162
115,1,163
117,1,164
120,2,166
123,1,167
126,1,168
128,2,169
131,2,170
133,3,170
135,3,171
138,3,172
140,4,171
142,4,172
144,6,171
146,6,170
149,7,171
151,7,170
152,9,170
155,9,171
157,10,170
159,10,169
162,11,168
164,11,168
165,13,167
167,13,166
169,14,164
170,15,163
172,17,163
175,18,162
176,19,161
178,20,160
181,21,158
182,22,157
184,23,156
185,24,156
187,25,152
188,26,151
191,28,150
191,30,148
193,30,147
194,32,145
197,32,144
198,34,140
200,35,139
201,36,137
202,39,136
204,40,134
205,41,132
205,42,128
208,43,126
209,44,125
210,46,121
212,47,119
213,49,118
214,51,116
215,53,113
216,54,111
218,55,109
219,57,106
220,59,104
221,61,103
222,62,99
223,64,97
224,65,96
225,67,93
226,70,91
227,71,87
228,73,85
229,74,84
230,76,82
231,78,78
232,79,75
233,82,75
234,83,72
235,85,70
236,87,68
237,88,65
238,91,63
239,93,60
240,94,59
239,96,56
240,98,53
241,99,53
242,102,50
242,104,46
242,106,46
243,107,43
244,109,41
245,111,40
244,114,36
245,115,35
246,117,33
246,119,32
247,121,30
248,123,29
248,125,25
249,127,25
250,128,22
249,131,21
250,132,20
250,135,18
251,137,17
252,138,15
251,140,15
251,141,11
251,144,10
252,145,10
252,147,9
253,149,8
252,151,7
253,152,6
253,155,6
254,156,4
253,158,3
253,160,2
254,162,2
254,164,3
255,166,2
254,168,1
254,170,0
255,171,1
254,173,0
254,176,1
255,177,1
255,179,2
254,181,1
255,182,2
255,184,3
254,187,2
255,188,3
255,189,4
255,191,6
254,193,7
255,194,8
255,195,9
254,198,10
254,200,11
254,202,12
255,202,15
254,204,17
254,206,18
253,208,21
253,210,22
253,211,24
254,212,28
253,214,29
253,215,32
252,216,35
252,219,39
252,220,41
251,221,44
251,223,47
250,224,51
251,225,53
251,226,56
251,227,62
250,230,65
250,231,70
249,232,73
249,233,77
248,233,82
247,234,86
247,235,92
246,236,97
246,237,102
246,238,107
245,240,111
245,241,117
244,242,124
244,243,129
244,244,136
243,245,140
243,245,148
242,246,155
242,247,161
242,248,167
241,249,176
240,249,182
240,251,190
240,252,196
239,252,205
239,253,212
238,253,221
238,254,229
237,254,237
237,254,246
237,255,255
