red,green,blue
15,17,78
15,17,78
15,17,80
16,18,81
16,18,81
16,17,83
15,18,83
16,19,86
15,21,87
15,22,90
15,24,93
15,26,94
14,29,98
15,31,102
14,35,104
16,38,109
15,42,111
15,44,114
15,47,118
15,49,122
16,52,124
15,55,128
15,57,130
14,58,133
15,61,135
14,62,138
14,63,141
15,64,144
16,66,147
15,68,150
15,70,151
14,71,154
14,72,157
15,75,160
14,76,163
14,77,166
13,79,169
14,81,173
14,83,175
13,84,178
13,85,181
15,87,185
14,89,186
14,90,188
15,92,192
14,94,193
14,95,196
13,97,197
14,98,200
14,100,201
14,101,202
13,103,204
14,104,205
15,106,207
14,108,208
14,110,208
14,112,209
15,113,208
14,115,209
14,117,208
15,118,207
14,121,205
15,122,204
15,124,202
16,126,199
16,127,195
17,129,191
18,131,187
17,133,181
19,134,177
19,135,172
20,137,168
20,138,160
22,140,156
25,141,150
25,143,143
27,145,135
31,146,129
33,148,121
38,150,114
42,152,105
47,154,98
53,156,89
58,158,82
64,160,74
70,163,68
76,165,61
81,167,56
88,169,52
93,171,47
98,173,42
102,175,38
107,177,33
113,179,31
118,180,29
123,182,26
127,183,24
132,185,21
137,186,20
142,187,18
147,189,17
151,190,17
155,192,15
160,192,15
164,193,13
167,194,13
172,195,13
177,196,14
179,197,13
184,198,13
188,198,12
191,199,12
195,199,13
197,199,14
201,199,14
203,199,15
206,200,16
207,199,16
210,199,17
211,199,17
213,199,18
215,198,18
216,197,18
218,197,18
219,196,18
220,195,19
222,194,19
222,192,18
224,191,20
225,191,20
225,189,21
227,188,21
227,186,22
229,185,24
229,183,23
231,180,23
231,178,24
232,176,25
232,174,26
234,171,26
234,169,27
234,166,27
234,164,30
236,161,30
235,158,30
236,156,31
236,154,33
235,150,33
236,147,33
236,143,34
236,139,36
237,135,38
236,131,38
236,127,40
236,121,42
237,115,42
237,110,45
237,104,47
236,98,47
237,92,49
237,87,51
237,81,52
236,76,54
236,71,55
236,65,57
234,61,58
235,57,61
236,52,62
235,49,64
235,46,66
234,43,65
235,40,68
234,39,69
234,37,69
233,35,70
233,35,72
233,35,74
232,35,75
232,35,77
231,37,78
231,38,81
230,40,82
231,42,86
232,45,88
231,48,90
230,52,92
230,56,93
231,59,95
231,64,96
230,69,99
231,75,101
231,79,103
231,84,104
232,89,107
232,93,108
232,98,111
234,102,112
234,107,114
234,111,117
234,116,120
234,120,121
235,125,124
235,129,127
235,134,128
235,138,131
235,143,134
237,149,136
235,154,139
236,158,142
237,164,146
236,169,149
236,173,152
236,179,158
236,183,161
236,188,164
235,191,168
235,195,171
235,198,175
235,201,177
235,205,181
235,207,184
236,209,186
236,212,188
236,213,191
