,Y,Cr,Cb
0,24,122,159
1,24,122,159
2,24,122,160
3,25,122,160
4,25,122,160
5,25,122,161
6,25,121,161
7,26,121,162
8,27,120,162
9,28,119,163
10,30,118,164
11,31,117,164
12,33,115,165
13,35,114,166
14,37,112,166
15,40,111,167
16,42,109,167
17,44,108,168
18,46,106,169
19,48,105,170
20,50,104,170
21,52,102,171
22,53,101,172
23,54,100,173
24,56,99,173
25,57,98,174
26,58,97,175
27,59,97,176
28,61,96,177
29,62,95,178
30,63,94,178
31,64,93,179
32,65,92,180
33,67,91,181
34,68,90,182
35,69,89,183
36,70,88,184
37,72,87,185
38,73,86,186
39,74,85,187
40,75,84,188
41,77,84,189
42,78,83,189
43,79,82,190
44,81,81,191
45,82,80,191
46,83,79,192
47,84,78,192
48,85,78,193
49,86,77,193
50,87,76,193
51,88,75,194
52,89,75,194
53,91,74,194
54,92,73,194
55,93,72,193
56,94,71,193
57,95,71,192
58,96,70,192
59,97,69,191
60,98,69,190
61,99,68,188
62,100,68,187
63,101,67,185
64,102,67,183
65,102,67,181
66,103,67,178
67,104,67,175
68,104,66,172
69,105,67,169
70,105,67,166
71,106,67,163
72,106,67,159
73,107,68,156
74,108,69,152
75,108,69,148
76,109,70,143
77,110,72,139
78,111,73,134
79,113,75,129
80,114,77,123
81,116,79,118
82,118,82,112
83,120,84,107
84,122,87,101
85,125,89,96
86,127,92,91
87,129,94,87
88,132,97,83
89,134,99,79
90,136,101,75
91,138,103,72
92,140,105,68
93,143,107,65
94,145,109,63
95,147,111,60
96,149,113,58
97,151,115,55
98,153,117,53
99,155,119,51
100,157,121,49
101,159,123,48
102,161,124,46
103,163,126,45
104,164,128,43
105,166,129,42
106,168,131,41
107,170,133,40
108,171,134,39
109,173,136,38
110,174,138,37
111,176,139,36
112,177,141,36
113,178,142,36
114,179,144,35
115,180,145,35
116,181,146,35
117,181,147,35
118,182,148,35
119,182,149,35
120,183,150,35
121,183,151,35
122,183,152,35
123,183,153,35
124,183,154,35
125,183,155,36
126,183,156,36
127,182,157,36
128,182,158,37
129,182,159,37
130,181,160,38
131,181,161,38
132,180,162,39
133,180,163,40
134,179,164,40
135,178,166,41
136,177,167,42
137,176,168,43
138,175,169,44
139,174,171,45
140,173,172,46
141,171,173,47
142,170,174,49
143,169,176,50
144,167,177,51
145,166,178,52
146,165,179,54
147,163,180,55
148,161,182,56
149,159,183,58
150,157,185,60
151,155,187,62
152,152,188,64
153,150,190,66
154,147,192,69
155,144,195,71
156,141,197,74
157,138,199,77
158,134,201,79
159,131,204,82
160,128,206,85
161,125,208,87
162,122,210,90
163,119,212,92
164,116,214,95
165,113,215,97
166,111,217,100
167,109,219,102
168,107,220,104
169,105,221,106
170,103,222,107
171,102,223,109
172,101,223,110
173,100,224,111
174,99,224,112
175,99,224,113
176,99,224,114
177,99,223,115
178,99,223,116
179,100,222,116
180,101,221,117
181,102,220,117
182,104,219,118
183,106,218,118
184,108,216,118
185,110,214,118
186,113,212,117
187,115,211,117
188,118,209,116
189,121,206,116
190,125,204,115
191,128,202,114
192,131,200,113
193,134,198,113
194,137,196,112
195,140,194,112
196,143,193,111
197,146,191,110
198,149,189,110
199,152,187,110
200,155,185,109
201,158,183,109
202,161,181,109
203,164,179,108
204,167,177,108
205,170,175,108
206,174,173,107
207,177,170,107
208,180,168,107
209,184,166,107
210,187,163,107
211,190,161,107
212,194,158,108
213,197,156,108
214,200,154,108
215,202,152,109
216,205,150,109
217,207,148,110
218,209,147,110
219,212,145,111
220,213,144,112
221,215,143,112
222,217,142,112
223,218,141,113
