red,green,blue
16,18,79
16,17,81
17,18,82
17,18,82
17,18,83
15,19,83
16,19,86
16,21,87
15,22,90
16,25,94
16,26,95
15,30,99
15,32,102
15,35,104
16,39,109
15,42,111
16,45,115
15,48,119
16,50,122
16,53,124
16,56,128
15,57,131
15,59,134
15,61,136
15,63,139
15,64,141
16,65,144
16,67,148
16,68,151
15,70,152
15,71,154
15,73,157
15,75,161
15,77,164
14,78,166
14,79,169
15,82,173
14,83,176
14,84,179
13,86,181
15,87,185
15,89,186
15,91,189
15,93,193
15,95,194
14,96,196
14,98,197
15,98,200
14,100,201
14,102,202
14,103,205
15,104,206
15,107,208
15,109,209
14,111,208
14,112,209
15,114,208
15,115,209
14,117,209
15,119,208
15,121,205
16,123,205
15,125,202
16,127,199
16,127,196
17,129,192
18,131,187
17,133,182
19,134,178
19,135,172
20,138,168
20,139,161
23,140,157
25,142,151
25,143,143
28,145,136
31,146,129
34,148,122
39,151,115
42,152,105
47,154,98
54,156,90
58,159,83
65,161,74
70,164,68
77,165,61
81,167,56
89,170,52
93,172,47
98,174,42
103,175,39
108,177,34
114,180,31
118,181,30
123,183,27
128,184,25
133,185,22
138,187,20
142,188,19
147,189,17
152,190,17
155,192,16
160,193,16
164,193,13
167,195,14
172,196,14
177,197,14
179,197,13
184,198,14
188,198,13
191,200,13
195,199,14
198,200,15
201,200,14
204,200,15
206,200,16
208,199,16
210,200,17
211,199,17
214,199,18
215,199,18
217,198,18
218,197,18
219,196,18
221,195,20
222,195,20
223,193,19
224,192,21
225,191,21
226,189,22
227,188,22
228,186,22
229,185,24
229,184,23
231,181,24
232,179,25
232,177,25
232,175,26
234,172,27
235,170,28
234,167,27
234,164,30
236,162,31
236,159,31
236,156,31
237,154,34
236,151,34
237,147,33
236,144,35
237,140,37
238,136,38
236,131,39
237,127,40
237,122,42
238,116,43
238,110,45
238,105,48
236,99,47
238,93,49
237,87,52
237,82,52
237,77,55
237,71,55
237,66,58
235,62,58
236,57,61
237,53,63
236,50,64
235,46,66
235,43,66
235,41,68
234,39,69
235,37,70
234,36,71
234,36,72
234,35,74
232,36,76
232,35,78
232,37,79
231,38,82
231,40,83
232,42,86
232,45,88
231,49,90
231,52,92
231,57,94
231,60,96
232,64,97
230,69,100
232,75,102
232,80,103
232,85,104
232,89,107
232,94,109
233,98,112
234,102,113
234,107,114
235,112,117
235,116,120
235,121,121
235,125,124
235,130,127
236,134,129
236,139,132
236,143,135
237,149,137
236,154,140
236,159,143
237,164,147
236,169,150
236,174,153
236,179,159
236,184,162
236,188,165
236,191,168
236,196,171
235,199,175
236,202,177
236,206,182
235,207,185
236,210,187
237,213,189
236,214,191
